"fuelFormulationID","fuelSubtypeID","RVP","sulfurLevel","ETOHVolume","MTBEVolume","ETBEVolume","TAMEVolume","aromaticContent","olefinContent","benzeneContent","e200","e300","BioDieselEsterVolume","CetaneIndex","PAHContent","T50","T90"
10,10,6.9,30.0,0.0,0.0,0.0,0.0,26.1,5.6,1.0,41.09,83.09,0.0,0.0,0.0,218.0,329.0
20,20,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,51,7.7,11.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0,0.0,999.0,999.0
90,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,10,8.7,338.0,0.0,0.0,0.0,0.0,26.4,11.9,1.64,50.0,83.0,0.0,0.0,0.0,199.816,329.409
97,10,6.6,150.0,0.0,0.0,0.0,0.0,24.0,11.0,0.8,52.0,84.0,0.0,0.0,0.0,195.735,324.864
98,12,8.8,30.0,10.0,0.0,0.0,0.0,25.77,8.44,0.65,47.61,84.89,0.0,0.0,0.0,212.282,321.719
99,12,8.8,30.0,10.0,0.0,0.0,0.0,25.77,8.44,0.65,47.61,84.89,0.0,0.0,0.0,212.282,321.719
9021,12,10.0,7.15,10.0,0.0,0.0,0.0,23.0358,8.2184,0.701,42.77,83.8613,0.0,0.0,0.0,240.03,326.056
9022,12,10.5,7.71,10.0,0.0,0.0,0.0,22.18,7.62,0.668,44.66,84.08,0.0,0.0,0.0,229.194,325.134
9023,12,10.5,8.12,10.0,0.0,0.0,0.0,22.6833,7.83448,0.6745,44.8967,84.377,0.0,0.0,0.0,227.855,323.881
9321,10,9.0,7.15,0.0,0.0,0.0,0.0,25.2358,6.6184,0.701,35.77,84.0613,0.0,0.0,0.0,254.315,325.374
9322,10,9.7,7.71,0.0,0.0,0.0,0.0,23.88,5.92,0.678,38.26,83.88,0.0,0.0,0.0,242.255,325.816
9323,10,9.7,8.12,0.0,0.0,0.0,0.0,24.3833,6.13448,0.6845,38.4967,84.177,0.0,0.0,0.0,240.917,324.563
9621,15,9.85,6.7925,15.0,0.0,0.0,0.0,21.884,7.80748,0.66595,55.7186,84.7512,0.0,0.0,0.0,167.97,322.74
9622,15,10.35,7.3245,15.0,0.0,0.0,0.0,21.071,7.239,0.6346,55.9842,84.947,0.0,0.0,0.0,166.579,321.862
9623,15,10.35,7.714,15.0,0.0,0.0,0.0,21.5492,7.44276,0.640775,56.017,85.213,0.0,0.0,0.0,166.407,320.669
25003,21,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0
27001,51,10.5,8.0,74.0,0.0,0.0,0.0,0.0,0.0,0.16,999.0,999.0,0.0,0.0,0.0,999.0,999.0
27002,51,7.7,8.0,74.0,0.0,0.0,0.0,0.0,0.0,0.16,999.0,999.0,0.0,0.0,0.0,999.0,999.0
28001,30,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
